created_ts,process_id,file_id,status,contract_id,served_itsi,served_cc,served_nc,served_msisdn,org_level_main,org_sublevel1,org_sublevel2,org_sublevel3,org_sublevel4,org_sublevel5,other_party_type,other_party,other_party_itsi,other_party_cc,other_party_nc,dialled_number,call_ref,source_dxt,dxt_seq_nr,connected_number,connected_nitsi,connection_group,served_party_dxt_id,a_location_area,a_cell_id,sds_service_type,sds_type,sds_length,sds_timestamp,cells_distributed,cells_reached,dispatchers_reached,sds_result,ss_records,num_groups,part_group1,part_group2,part_group3,part_group4,part_group5,part_group6,part_group7,part_group8,event_time_hour,call_type,forward_number,trans_forw_number,trans_rep_flag,message_reference,sending_profile,target_dxt_id,target_loc_area,target_channel_type,sdstl_protocol_id,diagnostics
2017-10-15 14:03:59.57,11,1085,2,,1005374,000,000,"",2,26,,,,,1,0426000111006137,1005375,000,000,0426000111006137,641BDAFC,123123,28527,0426000111006137,0426000111006137,65535,123123,1003,1,0,3,32,2017-10-12 09:44:27.45,1,1,0,0,,,"","","","","","","","",2017-10-12 09:00:00,SDS,"","",1,212,-1,123123,1003,1,130,0
2017-10-15 14:03:59.6,11,1085,2,,1005374,000,000,"",2,26,,,,,1,0426000111006137,1005375,000,000,0426000111006137,641BDB40,123123,28603,0426000111006137,0426000111006137,65535,123123,1003,1,1,3,96,2017-10-12 09:44:31.76,1,1,0,0,,,"","","","","","","","",2017-10-12 09:00:00,SDS,"","",0,210,-1,123123,1003,1,130,0
2017-10-16 09:58:16.99,47,1195,2,,1009733,000,000,"",2,53,,,,,,"",16777213,0426,00011,"",6453AA82,123123,15060,"",04260001116777213,65535,123123,1001,1,0,4,16,2017-10-15 17:44:19.83,0,0,0,0,,,"","","","","","","","",2017-10-15 17:00:00,SDS,"","",-1,255,-1,0,65535,FF,255,0
2017-10-15 14:06:14.46,11,1097,2,,1005374,000,000,"",2,26,,,,,1,0426000111006137,1005375,000,000,0426000111006137,64196263,123123,44386,0426000111006137,0426000111006137,65535,123123,1003,1,0,3,32,2017-10-12 06:33:01,1,1,0,0,,,"","","","","","","","",2017-10-12 06:00:00,SDS,"","",1,226,-1,123123,1003,1,130,0
2017-10-15 14:06:15.41,11,1097,2,,1005374,000,000,"",2,26,,,,,1,0426000111006137,1005375,000,000,0426000111006137,64196876,123123,46160,0426000111006137,0426000111006137,65535,123123,1003,1,1,3,120,2017-10-12 06:35:01.37,1,1,0,0,,,"","","","","","","","",2017-10-12 06:00:00,SDS,"","",0,202,-1,123123,1003,1,130,0
2017-10-15 14:06:15.67,11,1097,2,,1005374,000,000,"",2,26,,,,,1,0426000111006137,1005375,000,000,0426000111006137,64196A14,123123,46623,0426000111006137,0426000111006137,65535,123123,1003,1,0,3,32,2017-10-12 06:35:33.77,1,1,0,0,,,"","","","","","","","",2017-10-12 06:00:00,SDS,"","",1,228,-1,123123,1003,1,130,0
2017-10-15 14:06:15.8,11,1097,2,,1005374,000,000,"",2,26,,,,,1,0426000111006137,1005375,000,000,0426000111006137,64196AE4,123123,46853,0426000111006137,0426000111006137,65535,123123,1003,1,0,3,32,2017-10-12 06:35:50.43,1,1,0,0,,,"","","","","","","","",2017-10-12 06:00:00,SDS,"","",1,229,-1,123123,1003,1,130,0
2017-10-15 14:06:15.93,11,1097,2,,1005374,000,000,"",2,26,,,,,1,0426000111006137,1005375,000,000,0426000111006137,64196BBF,123123,47094,0426000111006137,0426000111006137,65535,123123,1003,1,0,3,32,2017-10-12 06:36:07.15,1,1,0,0,,,"","","","","","","","",2017-10-12 06:00:00,SDS,"","",1,230,-1,123123,1003,1,130,0
2017-10-15 14:20:56.11,46,1175,2,,1005374,000,000,"",2,26,,,,,1,0426000111008947,1012050,000,000,0426000111008947,64513031,123123,30993,0426000111008947,0426000111008947,65535,123123,1003,1,0,3,32,2017-10-15 14:25:56.37,1,1,0,0,,,"","","","","","","","",2017-10-15 14:00:00,SDS,"","",1,211,-1,123123,1035,1,130,0
2017-10-15 14:20:55.91,46,1175,2,,1005374,000,000,"",2,26,,,,,1,0426000111008947,1012050,000,000,0426000111008947,64512ED6,123123,30618,0426000111008947,0426000111008947,65535,123123,1003,1,1,3,104,2017-10-15 14:25:31.73,1,1,0,0,,,"","","","","","","","",2017-10-15 14:00:00,SDS,"","",0,215,-1,123123,1035,1,130,0
2017-10-15 14:20:55.78,46,1175,2,,1005374,000,000,"",2,26,,,,,1,0426000111008947,1012050,000,000,0426000111008947,64512E16,123123,30410,0426000111008947,0426000111008947,65535,123123,1003,1,0,3,32,2017-10-15 14:25:17.89,1,1,0,0,,,"","","","","","","","",2017-10-15 14:00:00,SDS,"","",1,210,-1,123123,1035,1,130,0
